,id,datetime,countPassengers,TG,RH,dayOfWeek,season
0,1444195,2023-01-01,63610,11.9,5.7,6,winter
1,1419279,2023-01-02,59354,8.0,3.4,0,winter
2,1444678,2023-01-03,56043,6.0,1.9,1,winter
3,1434102,2023-01-04,65920,11.7,10.5,2,winter
4,1419610,2023-01-05,66563,10.5,0.9,3,winter
5,1415939,2023-01-06,61554,10.0,2.5,4,winter
6,1438159,2023-01-07,69346,10.1,1.3,5,winter
7,1444155,2023-01-08,57063,8.1,2.7,6,winter
8,1447787,2023-01-09,35890,7.1,2.9,0,winter
9,1416247,2023-01-10,20032,7.4,8.5,1,winter
10,1407124,2023-01-11,30693,9.9,4.1,2,winter
11,1440710,2023-01-12,20164,10.7,18.0,3,winter
12,1435233,2023-01-13,48990,8.9,0.4,4,winter
13,1405283,2023-01-14,48431,8.1,17.3,5,winter
14,1434777,2023-01-15,52016,6.3,5.8,6,winter
15,1407280,2023-01-16,23458,3.8,17.4,0,winter
16,1435207,2023-01-17,37499,1.7,0.2,1,winter
17,1408260,2023-01-18,30286,2.6,2.8,2,winter
18,1437218,2023-01-19,32387,3.4,4.5,3,winter
19,1425471,2023-01-20,40894,1.1,6.7,4,winter
20,1416450,2023-01-21,56462,-0.2,0.0,5,winter
21,1446134,2023-01-22,62261,2.0,0.0,6,winter
22,1415381,2023-01-23,34564,3.4,-0.1,0,winter
23,1434336,2023-01-24,35231,2.0,0.0,1,winter
24,1431918,2023-01-25,37466,0.1,2.2,2,winter
25,1416897,2023-01-26,50224,5.1,1.1,3,winter
26,1429602,2023-01-27,58729,4.0,0.0,4,winter
27,1432693,2023-01-28,66835,3.7,-0.1,5,winter
28,1422183,2023-01-29,54967,5.2,0.1,6,winter
29,1420904,2023-01-30,39696,6.8,1.2,0,winter
30,1432523,2023-01-31,38437,6.8,-0.1,1,winter
31,1419297,2023-02-01,37916,7.6,-0.1,2,winter
32,1415318,2023-02-02,38991,8.3,2.4,3,winter
33,1438970,2023-02-03,51383,8.9,-0.1,4,winter
34,1429208,2023-02-04,79285,7.2,0.1,5,winter
35,1443868,2023-02-05,60222,6.5,1.6,6,winter
36,1410750,2023-02-06,44180,4.1,0.0,0,winter
37,1406167,2023-02-07,37591,1.0,0.0,1,winter
38,1437484,2023-02-08,44822,1.1,0.0,2,winter
39,1427190,2023-02-09,44993,2.0,0.0,3,winter
40,1440427,2023-02-10,50130,4.9,-0.1,4,winter
41,1441718,2023-02-11,70278,7.9,0.0,5,winter
42,1433371,2023-02-12,52719,7.4,0.0,6,winter
43,1439361,2023-02-13,44777,7.3,0.0,0,winter
44,1445510,2023-02-14,49151,5.4,0.0,1,winter
45,1414851,2023-02-15,43961,5.2,0.0,2,winter
46,1447007,2023-02-16,29626,8.3,3.9,3,winter
47,1439576,2023-02-17,51626,10.2,0.2,4,winter
48,1436891,2023-02-18,74448,10.3,1.1,5,winter
49,1432349,2023-02-19,56894,7.6,1.0,6,winter
50,1444571,2023-02-20,46199,8.4,0.0,0,winter
51,1437147,2023-02-21,42236,8.3,-0.1,1,winter
52,1426173,2023-02-22,34190,6.8,2.0,2,winter
53,1409323,2023-02-23,53850,6.3,0.3,3,winter
54,1404750,2023-02-24,46402,5.4,4.4,4,winter
55,1447107,2023-02-25,74524,4.3,0.2,5,winter
56,1416340,2023-02-26,48864,3.7,0.0,6,winter
57,1423561,2023-02-27,42738,3.5,0.0,0,winter
58,1423655,2023-02-28,48212,3.1,1.6,1,winter
59,1409832,2023-03-01,63625,2.5,0.0,2,winter
60,1405854,2023-03-02,81314,3.7,0.0,3,winter
61,1446052,2023-03-03,68803,5.1,0.0,4,winter
62,1430329,2023-03-04,65886,5.7,0.6,5,winter
63,1429188,2023-03-05,64456,3.6,1.5,6,winter
64,1441977,2023-03-06,31033,4.1,4.8,0,winter
65,1428774,2023-03-07,32912,2.2,3.4,1,winter
66,1413766,2023-03-08,35110,1.2,1.0,2,winter
67,1444092,2023-03-09,28113,1.8,15.9,3,winter
68,1440321,2023-03-10,29039,1.7,15.1,4,winter
69,1423759,2023-03-11,65362,2.3,0.0,5,winter
70,1426495,2023-03-12,39712,7.2,1.3,6,winter
71,1442750,2023-03-13,31188,12.5,2.7,0,winter
72,1408299,2023-03-14,31004,6.4,6.7,1,winter
73,1405571,2023-03-15,42266,5.1,-0.1,2,winter
74,1406014,2023-03-16,55370,8.7,0.4,3,winter
75,1437801,2023-03-17,56082,11.5,-0.1,4,winter
76,1427286,2023-03-18,65412,11.8,3.6,5,winter
77,1407854,2023-03-19,54571,8.8,-0.1,6,winter
78,1421782,2023-03-20,24928,8.4,5.5,0,winter
79,1446066,2023-03-21,41649,10.1,2.6,1,spring
80,1406586,2023-03-22,41089,10.6,5.2,2,spring
81,1438834,2023-03-23,44289,12.6,7.5,3,spring
82,1412764,2023-03-24,59673,11.2,2.0,4,spring
83,1445829,2023-03-25,72966,9.2,6.6,5,spring
84,1440931,2023-03-26,53815,6.7,-0.1,6,spring
85,1404795,2023-03-27,39394,4.0,1.3,0,spring
86,1436938,2023-03-28,38964,4.7,0.3,1,spring
87,1422288,2023-03-29,44837,10.6,-0.1,2,spring
88,1417981,2023-03-30,47478,12.6,-0.1,3,spring
89,1404725,2023-03-31,34091,10.5,13.4,4,spring
90,1419121,2023-04-01,67264,9.3,3.7,5,spring
91,1421995,2023-04-02,71742,6.1,0.0,6,spring
92,1406113,2023-04-03,41629,5.7,0.0,0,spring
93,1436975,2023-04-04,54338,5.6,0.0,1,spring
94,1405822,2023-04-05,65962,6.3,0.0,2,spring
95,1438987,2023-04-06,44069,7.4,5.9,3,spring
96,1434371,2023-04-07,91526,8.5,-0.1,4,spring
97,1409626,2023-04-08,88193,8.6,0.0,5,spring
98,1433955,2023-04-09,56312,10.7,0.0,6,spring
99,1435561,2023-04-10,54283,10.5,11.5,0,spring
100,1422931,2023-04-11,56166,9.8,0.8,1,spring
101,1412219,2023-04-12,60543,9.4,7.3,2,spring
102,1439467,2023-04-13,55840,8.2,1.7,3,spring
103,1410781,2023-04-14,61710,9.4,0.3,4,spring
104,1439931,2023-04-15,71694,9.3,0.1,5,spring
105,1416462,2023-04-16,60950,8.6,0.1,6,spring
106,1409568,2023-04-17,43048,9.9,0.0,0,spring
107,1432480,2023-04-18,43762,9.9,-0.1,1,spring
108,1417248,2023-04-19,145822,10.6,0.0,2,spring
109,1405353,2023-04-20,77689,8.9,1.0,3,spring
110,1422157,2023-04-21,45707,11.0,5.0,4,spring
111,1447398,2023-04-22,62801,8.8,3.5,5,spring
112,1411545,2023-04-23,68294,11.4,11.3,6,spring
113,1415818,2023-04-24,64675,8.4,12.9,0,spring
114,1424412,2023-04-25,72823,6.5,0.1,1,spring
115,1439422,2023-04-26,60976,6.1,-0.1,2,spring
116,1447465,2023-04-27,34970,8.5,0.0,3,spring
117,1408717,2023-04-28,80463,10.1,0.8,4,spring
118,1427702,2023-04-29,88898,11.3,0.0,5,spring
119,1416337,2023-04-30,63950,11.8,0.0,6,spring
120,1411543,2023-05-01,51341,11.7,0.4,0,spring
121,1412749,2023-05-02,62930,9.1,0.0,1,spring
122,1405554,2023-05-03,64178,9.6,0.0,2,spring
123,1405760,2023-05-04,51080,14.5,0.0,3,spring
124,1428913,2023-05-05,54515,14.2,10.7,4,spring
125,1438358,2023-05-06,84031,15.1,3.4,5,spring
126,1414411,2023-05-07,54844,15.8,1.0,6,spring
127,1445677,2023-05-08,56790,14.6,0.0,0,spring
128,1415385,2023-05-09,30421,13.7,16.3,1,spring
129,1424343,2023-05-10,55239,12.7,0.0,2,spring
130,1439300,2023-05-11,54997,13.7,2.9,3,spring
131,1430375,2023-05-12,57249,16.0,2.7,4,spring
132,1410908,2023-05-13,69849,16.1,0.0,5,spring
133,1429058,2023-05-14,56202,13.4,0.0,6,spring
134,1429101,2023-05-15,46723,10.4,0.3,0,spring
135,1444638,2023-05-16,47823,10.3,0.0,1,spring
136,1440856,2023-05-17,47255,10.8,0.0,2,spring
137,1438742,2023-05-18,85686,10.5,0.0,3,spring
138,1411404,2023-05-19,71248,13.6,0.0,4,spring
139,1414185,2023-05-20,66315,15.4,0.0,5,spring
140,1425824,2023-05-21,52849,16.3,0.0,6,spring
141,1429363,2023-05-22,42633,16.8,0.0,0,spring
142,1433924,2023-05-23,48346,12.3,0.0,1,spring
143,1404550,2023-05-24,55246,12.2,0.0,2,spring
144,1410249,2023-05-25,62882,12.5,0.0,3,spring
145,1409845,2023-05-26,67109,12.7,0.0,4,spring
146,1420836,2023-05-27,96904,14.2,0.0,5,spring
147,1411333,2023-05-28,79745,15.3,0.0,6,spring
148,1436505,2023-05-29,80612,12.6,0.0,0,spring
149,1405269,2023-05-30,68332,12.7,0.0,1,spring
150,1437019,2023-05-31,46638,14.9,0.0,2,spring
151,1421507,2023-06-01,67230,12.4,0.0,3,spring
152,1439672,2023-06-02,61553,13.7,0.0,4,spring
153,1408451,2023-06-03,80964,16.3,0.0,5,spring
154,1445470,2023-06-04,68354,15.5,0.0,6,spring
155,1407583,2023-06-05,54794,14.3,0.0,0,spring
156,1424923,2023-06-06,63589,14.9,0.0,1,spring
157,1413838,2023-06-07,46482,15.3,0.0,2,spring
158,1412757,2023-06-08,58657,16.8,0.0,3,spring
159,1407641,2023-06-09,53460,21.0,0.0,4,spring
160,1441177,2023-06-10,77024,22.8,0.0,5,spring
161,1405275,2023-06-11,45349,24.7,0.0,6,spring
162,1436879,2023-06-12,43630,24.3,0.0,0,spring
163,1438272,2023-06-13,47829,22.2,0.0,1,spring
164,1424366,2023-06-14,50340,20.8,0.0,2,spring
165,1410559,2023-06-15,55171,20.9,0.0,3,spring
166,1432980,2023-06-16,60574,20.3,0.0,4,spring
167,1411014,2023-06-17,66073,20.6,-0.1,5,spring
168,1443919,2023-06-18,62419,22.5,-0.1,6,spring
169,1408353,2023-06-19,50678,20.2,1.6,0,spring
170,1415097,2023-06-20,50179,22.0,17.0,1,spring
171,1415229,2023-06-21,58920,19.7,0.0,2,summer
172,1424796,2023-06-22,63308,19.8,-0.1,3,summer
173,1427386,2023-06-23,70061,20.1,0.0,4,summer
174,1411146,2023-06-24,91385,21.5,0.0,5,summer
175,1406379,2023-06-25,53529,25.2,0.0,6,summer
176,1428627,2023-06-26,58908,18.9,-0.1,0,summer
177,1439385,2023-06-27,53934,17.6,1.5,1,summer
178,1427815,2023-06-28,54780,18.8,2.8,2,summer
179,1421054,2023-06-29,51620,17.6,0.2,3,summer
180,1442630,2023-06-30,61975,17.5,-0.1,4,summer
181,1413655,2023-07-01,83992,17.5,5.5,5,summer
182,1417847,2023-07-02,75801,17.4,0.0,6,summer
183,1438894,2023-07-03,68204,16.8,5.3,0,summer
184,1418514,2023-07-04,73232,16.9,2.2,1,summer
185,1409818,2023-07-05,34638,14.2,26.6,2,summer
186,1446100,2023-07-06,60469,17.0,0.0,3,summer
187,1417336,2023-07-07,72599,21.2,0.0,4,summer
188,1406837,2023-07-08,75359,24.8,0.0,5,summer
189,1412518,2023-07-09,52782,21.5,9.2,6,summer
190,1412785,2023-07-10,59875,20.0,0.0,0,summer
191,1405422,2023-07-11,61721,21.0,0.7,1,summer
192,1405845,2023-07-12,61931,18.7,6.5,2,summer
193,1419933,2023-07-13,61581,18.2,0.0,3,summer
194,1434215,2023-07-14,59550,19.1,-0.1,4,summer
195,1406482,2023-07-15,76445,20.4,1.7,5,summer
196,1422922,2023-07-16,78394,18.7,0.3,6,summer
197,1422457,2023-07-17,71959,17.6,0.2,0,summer
198,1444506,2023-07-18,68216,18.0,-0.1,1,summer
199,1416791,2023-07-19,77908,17.7,0.3,2,summer
200,1436094,2023-07-20,71234,16.8,0.0,3,summer
201,1420894,2023-07-21,63960,16.4,-0.1,4,summer
202,1440648,2023-07-22,66193,16.4,2.5,5,summer
203,1424325,2023-07-23,73229,18.2,1.8,6,summer
204,1439708,2023-07-24,72307,16.9,-0.1,0,summer
205,1414023,2023-07-25,75515,15.1,0.1,1,summer
